From Date,PM2.5,NO,NO2,NOx,NH3,SO2,CO,Ozone,RH,WS,WD,BP,AT
2024-01-01,61.45,0.53,2.8,1.7,3.59,3.19,0.95,4.05,75.23,0.56,201.77,967.69,25.17
2024-01-02,72.78,1.85,2.98,3.32,3.59,3.25,1.07,4.12,75.95,0.59,184.1,967.01,25.04
2024-01-03,64.04,3.17,2.73,5.18,3.39,3.0,1.12,4.21,78.85,0.55,188.62,966.71,24.67
2024-01-04,45.69,3.1,2.24,4.71,3.21,3.5,1.0,4.15,82.05,0.72,188.42,966.51,24.56
2024-01-05,40.67,3.4,2.1,4.96,3.21,3.58,1.02,4.17,93.94,0.69,235.6,966.44,22.49
2024-01-06,58.23,3.17,2.48,5.0,3.23,3.57,0.22,4.08,70.27,0.53,181.61,966.04,27.75
2024-01-07,35.43,3.17,2.81,5.24,3.25,3.43,0.2,4.1,79.73,0.55,182.37,966.71,25.72
2024-01-08,28.42,3.52,2.96,5.79,3.24,3.46,0.2,3.99,86.18,0.72,186.33,967.28,24.48
2024-01-09,31.44,3.52,3.18,5.98,3.24,3.53,0.32,3.98,93.57,0.87,171.05,967.12,23.01
2024-01-10,56.56,3.44,4.04,6.56,3.24,3.57,0.37,4.0,71.63,0.67,193.87,967.55,26.23
2024-01-11,52.68,3.44,3.3,5.97,3.31,3.48,0.31,4.05,72.55,0.72,202.93,967.84,25.23
2024-01-12,55.06,3.25,2.88,5.41,3.33,6.56,0.21,4.0,72.75,0.71,201.25,967.92,24.53
2024-01-13,63.4,4.26,3.79,7.36,3.33,14.52,0.43,4.16,71.72,0.61,214.84,968.58,24.82
2024-01-14,86.89,2.99,2.13,4.49,3.39,14.38,0.31,3.97,72.6,0.66,196.68,967.66,25.76
2024-01-15,81.2,2.97,1.88,4.27,3.38,14.55,0.26,4.07,66.51,0.56,198.47,967.31,25.65
2024-01-16,70.52,3.03,1.58,4.1,3.35,14.73,0.17,4.0,83.13,0.76,212.52,967.05,22.24
2024-01-18,44.55,3.5,3.52,6.22,3.35,15.29,0.39,3.83,55.7,0.64,205.19,965.61,28.5
2024-01-19,41.28,3.1,1.72,4.29,3.39,14.68,0.14,4.15,69.79,0.68,182.62,966.5,26.98
2024-01-20,45.07,3.29,2.21,4.93,3.39,14.64,0.23,3.98,70.05,0.63,186.88,967.82,26.39
2024-01-21,53.33,3.34,3.1,5.69,3.38,14.56,0.3,3.98,65.31,0.59,205.89,967.73,26.74
2024-01-22,48.29,3.34,3.24,5.8,3.36,14.74,0.29,3.78,64.1,0.67,205.25,968.58,26.7
